Pos,Name,Value
1,China,1367485388
2,India,1251695584
3,European Union,513949445
4,United States,321368864
5,Indonesia,255993674
6,Brazil,204259812
7,Pakistan,199085847
8,Nigeria,181562056
9,Bangladesh,168957745
10,Russia,142423773
